shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18,pair_19,pair_20,pair_21,pair_22,pair_23,pair_24,pair_25
-148,214.90436446666718,214.6296997666359,216.1483706831932,215.41202837228775,217.63964849710464,217.19044756889343,216.94058364629745,217.57306730747223,215.35142827033997,218.12618601322174,218.06210964918137,217.78858494758606,217.03538244962692,217.23458141088486,216.3561162352562,216.8777573108673,216.52044093608856,214.25589030981064,215.1497267484665,214.6533638238907,218.10881620645523,215.99719893932343,217.38011890649796,216.37515634298325,217.20599192380905,217.59271961450577
-147,214.90287947654724,214.6223385334015,216.13676172494888,215.43987250328064,217.61604171991348,217.20296949148178,216.88405472040176,217.5920414328575,215.32970261573792,218.11632549762726,218.06507259607315,217.80654352903366,216.99448680877686,217.19374656677246,216.35537242889404,216.8659529685974,216.5307822227478,214.25179612636566,215.12251448631287,214.64904153347015,218.08939361572266,215.9459566473961,217.38297206163406,216.39398682117462,217.22265321016312,217.6019722223282
-146,214.9018131494522,214.61549228429794,216.12903851270676,215.46811360120773,217.59566700458527,217.21593755483627,216.83055740594864,217.60239207744598,215.3090482354164,218.1058714389801,218.06495290994644,217.82967603206635,216.95507925748825,217.14739161729813,216.34905987977982,216.85723066329956,216.54439216852188,214.24980169534683,215.100951731205,214.64269316196442,218.0800752043724,215.90958678722382,217.38358980417252,216.40662360191345,217.2428022623062,217.61321824789047
-145,214.9018310904503,214.6100473999977,216.12392359972,215.4945319890976,217.57935100793839,217.22913092374802,216.7836092710495,217.60485744476318,215.2900189757347,218.09395587444305,218.06167793273926,217.85637974739075,216.91921538114548,217.09756940603256,216.33672034740448,216.85274124145508,216.5610786676407,214.2488767504692,215.0863094329834,214.63341057300568,218.07909762859344,215.89185965061188,217.3819878101349,216.41222351789474,217.26581931114197,217.62601280212402
-144,214.90358740091324,214.60679095983505,216.1208971142769,215.51735883951187,217.56797683238983,217.24180388450623,216.7459123134613,217.60018026828766,215.2734333872795,218.08001112937927,218.0554461479187,217.88477098941803,216.88843804597855,217.04724162817,216.3189678788185,216.85328435897827,216.58059531450272,214.2480451464653,215.07834321260452,214.62133365869522,218.08432841300964,215.89423686265945,217.37798434495926,216.4113221168518,217.2911001443863,217.64017111063004
-143,214.90712743997574,214.60642790794373,216.1197105050087,215.53518003225327,217.56237924098969,217.25362122058868,216.7195737361908,217.5893445611,215.2599925994873,218.0636328458786,218.04598373174667,217.9127534031868,216.86441373825073,216.9982082247734,216.29679143428802,216.8595415353775,216.60239452123642,214.2464656829834,215.07610672712326,214.60878574848175,218.09359872341156,215.91559892892838,217.37114930152893,216.40547668933868,217.3175260424614,217.65527272224426
-142,214.911836206913,214.60917365550995,216.12120008468628,215.54730838537216,217.56385219097137,217.26473796367645,216.7057927250862,217.5740728378296,215.24973475933075,218.04474222660065,218.03279197216034,217.93835937976837,216.84965348243713,216.9518569111824,216.2719578742981,216.87177217006683,216.6254841685295,214.24386429786682,215.07895082235336,214.59803944826126,218.1050769686699,215.951953291893,217.36089444160461,216.39696896076202,217.34367960691452,217.67053520679474
-141,214.91650986671448,214.61488246917725,216.1265110373497,215.5534086227417,217.57264357805252,217.27573347091675,216.70478814840317,217.55620378255844,215.24222999811172,218.0228721499443,218.01574593782425,217.9604967236519,216.84611999988556,216.91127580404282,216.2467035651207,216.89115983247757,216.6486210823059,214.2421277165413,215.08640086650848,214.59145218133926,218.11736023426056,215.999338388443,217.34681284427643,216.3880689740181,217.3681064248085,217.685193836689
-140,214.91975206136703,214.62381303310394,216.1367536187172,215.55371582508087,217.5882163643837,217.28724992275238,216.71608489751816,217.53768748044968,215.2366252541542,217.99761778116226,217.99551475048065,217.97837978601456,216.85432142019272,216.87963378429413,216.22305965423584,216.91899758577347,216.6705955862999,214.24228650331497,215.09752702713013,214.58873361349106,218.12859815359116,216.05399453639984,217.32869160175323,216.38024365901947,217.38925874233246,217.69847351312637
-139,214.920961022377,214.6343896985054,216.15283584594727,215.54954117536545,217.6104873418808,217.29921346902847,216.7384733557701,217.52029430866241,215.23284143209457,217.96911948919296,217.97294491529465,217.99155074357986,216.8744210600853,216.85810321569443,216.2033108472824,216.95484673976898,216.69064110517502,214.24506789445877,215.11225986480713,214.58859676122665,218.13729453086853,216.11359465122223,217.30671906471252,216.3747859597206,217.404980301857,217.70964992046356
-138,214.91926676034927,214.64446073770523,216.17611408233643,215.54230976104736,217.63838815689087,217.3113909959793,216.77036941051483,217.50513684749603,215.2329283952713,217.93857043981552,217.94898986816406,218.00012534856796,216.90485000610352,216.84687662124634,216.18927651643753,216.99763613939285,216.70802384614944,214.25174820423126,215.12994027137756,214.59105628728867,218.1425982117653,216.17662453651428,217.28195255994797,216.37238401174545,217.41339498758316,217.718121945858
-137,214.91365951299667,214.65215474367142,216.20716029405594,215.53325498104095,217.6697055697441,217.32340043783188,216.81060940027237,217.4927368760109,215.23849922418594,217.90718561410904,217.92498242855072,218.00517857074738,216.94311636686325,216.8445422053337,216.18251311779022,217.04589599370956,216.7225729227066,214.26271533966064,215.14938777685165,214.59582787752151,218.14439368247986,216.24132442474365,217.25551998615265,216.37299805879593,217.41315376758575,217.724159181118
-136,214.9038791656494,214.65624225139618,216.24604105949402,215.5236241221428,217.7025404572487,217.33481174707413,216.85692447423935,217.48258489370346,215.25143426656723,217.87656873464584,217.90239971876144,218.00807183980942,216.9862766265869,216.84950232505798,216.18364119529724,217.0979306101799,216.73493802547455,214.2783518433571,215.1708310842514,214.60342818498611,218.14314299821854,216.30623191595078,217.2288059592247,216.37720555067062,217.40374916791916,217.72809195518494
-135,214.88935160636902,214.65635323524475,216.2924389243126,215.51455760002136,217.7356052994728,217.34516006708145,216.90649819374084,217.47397953271866,215.27278065681458,217.8483955860138,217.88296914100647,218.0102521777153,217.0321804881096,216.86026841402054,216.1930207014084,217.15103340148926,216.74589067697525,214.29956620931625,215.1946942806244,214.61455357074738,218.13941258192062,216.37043529748917,217.20350968837738,216.38552099466324,217.385695874691,217.73043167591095
