shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18
71,211.25602340698242,207.26717567443848,209.0811710357666,211.40521723031998,210.2708376646042,209.05732381343842,210.09682816267014,216.9551461338997,210.88843816518784,208.89504843950272,210.46645152568817,209.47223037481308,210.0826340317726,209.18095046281815,210.3736441731453,216.96508705615997,212.00150352716446,209.17633414268494,209.86327922344208
72,211.26936769485474,207.27273452281952,209.0790372490883,211.39235800504684,210.24376791715622,209.0898079276085,210.1060335636139,216.95346677303314,210.88139408826828,208.91168028116226,210.4807931780815,209.46789872646332,210.11389011144638,209.2165253162384,210.3654100894928,216.96340554952621,212.01803344488144,209.15169548988342,209.84438407421112
73,211.28582739830017,207.27832132577896,209.08221411705017,211.38252568244934,210.21426266431808,209.12778675556183,210.11791026592255,216.95356768369675,210.8718850016594,208.93019157648087,210.49331957101822,209.46343606710434,210.1451455950737,209.25121182203293,210.36015582084656,216.9574432373047,212.03251659870148,209.1317799091339,209.8272261619568
74,211.30414456129074,207.28394573926926,209.09084635972977,211.3755573630333,210.1839149594307,209.16967117786407,210.131794154644,216.95581924915314,210.86174792051315,208.94804739952087,210.503092110157,209.45860773324966,210.17561846971512,209.2833405137062,210.35778099298477,216.94794738292694,212.04409676790237,209.11751157045364,209.81245869398117
75,211.3232365846634,207.29037064313889,209.10505205392838,211.37125778198242,210.15507012605667,209.2137907743454,210.14578664302826,216.96073538064957,210.85230934619904,208.9625425338745,210.50875598192215,209.453098654747,210.20439916849136,209.31207370758057,210.35835582017899,216.93579214811325,212.05257105827332,209.10840582847595,209.80033433437347
76,211.34067702293396,207.29788488149643,209.1255685687065,211.36897140741348,210.12999039888382,209.25850689411163,210.15841668844223,216.96899247169495,210.84385871887207,208.9710352420807,210.50953805446625,209.4461231827736,210.23068153858185,209.33747482299805,210.36171853542328,216.92199605703354,212.0580376982689,209.10297363996506,209.79019463062286
77,211.35405761003494,207.3062949180603,209.1529701948166,211.36802554130554,210.11067521572113,209.30148363113403,210.1688067317009,216.9808633327484,210.8357725739479,208.97226059436798,210.50571310520172,209.43735432624817,210.25401997566223,209.35932177305222,210.36706095933914,216.90768951177597,212.06070309877396,209.09903305768967,209.78160750865936
78,211.36160761117935,207.31647044420242,209.18652737140656,211.36837577819824,210.0987033843994,209.34058564901352,210.1775217652321,216.9961023926735,210.82759219408035,208.96597409248352,210.4981747865677,209.42572504281998,210.27435171604156,209.3774202466011,210.37352669239044,216.8941169977188,212.06107819080353,209.09458285570145,209.7748345732689
79,211.36268770694733,207.3298150897026,209.22476905584335,211.3699558377266,210.09422940015793,209.3735756278038,210.18527901172638,217.01464545726776,210.82035833597183,208.9522294998169,210.48813730478287,209.4097397327423,210.2916829586029,209.3917075395584,210.38064515590668,216.88304710388184,212.05948066711426,209.08795142173767,209.77031880617142
80,211.35687935352325,207.3466840982437,209.26564967632294,211.37353920936584,210.09654116630554,209.3984151482582,210.19208627939224,217.0365059375763,210.81549960374832,208.93120861053467,210.476420044899,209.3883398771286,210.3066002726555,209.40177112817764,210.38852775096893,216.87634027004242,212.0559703707695,209.07797706127167,209.7692013978958
81,211.3445902466774,207.36716252565384,209.3069162964821,211.38006788492203,210.1051041483879,209.4138669371605,210.19863098859787,217.0620121359825,210.8140003681183,208.90377587080002,210.46389836072922,209.36181730031967,210.31988382339478,209.40642994642258,210.39714127779007,216.87583321332932,212.05039829015732,209.06425750255585,209.7724140882492
82,211.32713496685028,207.39079892635345,209.34635877609253,211.39052361249924,210.1186653971672,209.41898107528687,210.2062427997589,217.09177941083908,210.81585812568665,208.87157821655273,210.4509637951851,209.3319829106331,210.33225005865097,209.40346658229828,210.4065330028534,216.88297086954117,212.04222297668457,209.04684960842133,209.7799174785614
83,211.30601167678833,207.4162511229515,209.38151198625565,211.4047816991806,210.13599890470505,209.41367101669312,210.216694355011,217.12622278928757,210.81981498003006,208.83613628149033,210.43846452236176,209.30095303058624,210.34362202882767,209.3911509513855,210.41719448566437,216.89858400821686,212.0310840010643,209.0257014632225,209.79184252023697
84,211.2831261754036,207.44187051057816,209.41043758392334,211.4220593571663,210.1558365225792,209.39906638860703,210.23107010126114,217.16585689783096,210.82439690828323,208.79915195703506,210.4274536371231,209.27130591869354,210.35293102264404,209.36847406625748,210.42938429117203,216.92309021949768,212.01679641008377,209.00159746408463,209.80772668123245
85,211.260438144207,207.46583902835846,209.4318971633911,211.4408415555954,210.1768038868904,209.37751507759094,210.24942123889923,217.21115159988403,210.82768201828003,208.7635254263878,210.41882455348969,209.24633711576462,210.35905081033707,209.3361427783966,210.4425163269043,216.95599031448364,211.99992471933365,208.97667759656906,209.82668030261993
86,211.23964774608612,207.48630678653717,209.44515717029572,211.45992428064346,210.1984242796898,209.35190623998642,210.27081525325775,217.26247364282608,210.82852870225906,208.73197221755981,210.41276824474335,209.22894877195358,210.36046135425568,209.29598540067673,210.45599108934402,216.99615043401718,211.98082226514816,208.95240539312363,209.84726029634476
87,211.22207486629486,207.50113135576248,209.44944161176682,211.4796651005745,210.22008514404297,209.32535076141357,210.29465079307556,217.320106446743,210.82626634836197,208.70635682344437,210.40882849693298,209.2213026881218,210.35596805810928,209.2508282661438,210.4686381816864,217.04292356967926,211.95994478464127,208.93034493923187,209.86739218235016
88,211.20876663923264,207.50750422477722,209.44525426626205,211.50069934129715,210.24111795425415,209.3001530766487,210.3203488588333,217.38375574350357,210.82035547494888,208.6880503296852,210.4058100581169,209.2240054011345,210.34436738491058,209.2040078639984,210.4798172712326,217.0955809354782,211.93846893310547,208.91244089603424,209.88461136817932
89,211.2004656791687,207.50356954336166,209.4337112903595,211.5228529572487,210.26114559173584,209.2773015499115,210.3460338115692,217.45265793800354,210.8114663362503,208.67820304632187,210.40216344594955,209.23583507537842,210.32556867599487,209.1593166589737,210.48875492811203,217.15335446596146,211.91758447885513,208.89892023801804,209.896566092968
90,211.19759052991867,207.48918199539185,209.41611868143082,211.5451164841652,210.28001821041107,209.25754070281982,210.36971348524094,217.52549874782562,210.8003813624382,208.6768326163292,210.39703595638275,209.25554603338242,210.30039030313492,209.119863986969,210.4946590065956,217.21529442071915,211.898699760437,208.88923543691635,209.9016711115837
91,211.19930040836334,207.46614062786102,209.39351963996887,211.5664376616478,210.29732412099838,209.2409638762474,210.3898981809616,217.60070943832397,210.7879614830017,208.68355238437653,210.39090639352798,209.28096175193787,210.26991295814514,209.08811211585999,210.4967441558838,217.28018790483475,211.883458673954,208.88280445337296,209.89918208122253
92,211.20373421907425,207.4361149072647,209.36740601062775,211.5860577225685,210.31324988603592,209.22720682621002,210.4049877524376,217.6763752102852,210.77473777532578,208.6987167596817,210.38389962911606,209.3092908859253,210.23602706193924,209.0650377869606,210.4948229789734,217.34663248062134,211.8736035823822,208.8799083828926,209.88902854919434
93,211.20867604017258,207.40103191137314,209.3393714427948,211.60375797748566,210.32786339521408,209.21570938825607,210.41309022903442,217.75022572278976,210.7605362534523,208.722383081913,210.37635451555252,209.3373521566391,210.20150327682495,209.05094754695892,210.4885083436966,217.4132575392723,211.87045747041702,208.88072729110718,209.87216573953629
94,211.21196860074997,207.3635207414627,209.31097316741943,211.61898803710938,210.34021121263504,209.20547747612,210.41290640830994,217.81960767507553,210.74478721618652,208.75295495986938,210.3686339855194,209.36312466859818,210.16919124126434,209.0459994673729,210.47751373052597,217.4785497188568,211.87443697452545,208.88487422466278,209.85030335187912
95,211.21217584609985,207.3266448378563,209.28407889604568,211.63077408075333,210.3485985994339,209.19582682847977,210.40367102622986,217.8817269206047,210.72678637504578,208.7879867553711,210.36121886968613,209.3854882121086,210.1408144235611,209.04883539676666,210.46225714683533,217.54096162319183,211.88500499725342,208.89118003845215,209.82502418756485
