shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14
-152,216.5070856809616,216.90951842069626,216.5421359539032,216.44571328163147,215.44054180383682,216.05199962854385,216.14909309148788,216.9478923678398,216.88553261756897,216.2320544719696,216.75352144241333,215.43326795101166,217.81973415613174,216.06237918138504,213.26379984617233
-151,216.53125900030136,216.90835469961166,216.55545961856842,216.43202871084213,215.45810508728027,216.05303925275803,216.11681580543518,216.9054580926895,216.87980550527573,216.24204164743423,216.79865509271622,215.43548208475113,217.79772353172302,216.05696684122086,213.30618011951447
-150,216.56295716762543,216.9038724899292,216.5693463087082,216.41870003938675,215.4670650959015,216.0521097779274,216.0850625038147,216.87615656852722,216.87639546394348,216.254809319973,216.84586119651794,215.4428842663765,217.7735293507576,216.05437707901,213.3480670452118
-149,216.6011787056923,216.89637917280197,216.583261013031,216.40659546852112,215.4676547050476,216.04923593997955,216.05446565151215,216.8615119457245,216.87497103214264,216.26750499010086,216.8942351937294,215.45548158884048,217.74849891662598,216.05593460798264,213.38672149181366
-148,216.64495569467545,216.88687074184418,216.59794741868973,216.3960428237915,215.4618195295334,216.04563176631927,216.02684146165848,216.8626143336296,216.87489140033722,216.27815240621567,216.94291138648987,215.47414684295654,217.7241688966751,216.06224596500397,213.418940782547
-147,216.6934416294098,216.87682580947876,216.6138146519661,216.38679760694504,215.45240181684494,216.0426230430603,216.00392097234726,216.87889897823334,216.87629222869873,216.2871642112732,216.99152386188507,215.50020945072174,217.70201516151428,216.07362246513367,213.44316011667252
-146,216.745760679245,216.86720979213715,216.63083535432816,216.377825319767,215.44182580709457,216.04221260547638,215.9859219789505,216.90705794095993,216.87973630428314,216.29550820589066,217.03956931829453,215.53369468450546,217.6826845407486,216.0904756784439,213.45832163095474
-145,216.80040436983109,216.85747253894806,216.6500370502472,216.3680743575096,215.43233174085617,216.0449873805046,215.9727966785431,216.94275867938995,216.8844120502472,216.30441707372665,217.0864695906639,215.5730375647545,217.66694074869156,216.11330235004425,213.4646338224411
-144,216.85553461313248,216.84683191776276,216.67230731248856,216.35637187957764,215.4259131550789,216.05119067430496,215.9650337100029,216.98205399513245,216.88904738426208,216.31394511461258,217.1306636929512,215.6163159608841,217.65476405620575,216.14216792583466,213.46376621723175
-143,216.90920799970627,216.8343567252159,216.6983636021614,216.34153980016708,215.42336642742157,216.06093174219131,215.96370512247086,217.02245223522186,216.89328223466873,216.3228040933609,217.17049139738083,215.66210436820984,217.64550268650055,216.17685824632645,213.45759445428848
-142,216.95904850959778,216.81930768489838,216.7284397482872,216.3236876130104,215.42521834373474,216.07358020544052,215.96983408927917,217.06234109401703,216.8972800374031,216.32933747768402,217.20450937747955,215.7083221077919,217.63856387138367,216.2174410223961,213.44826310873032
-141,217.00321805477142,216.80191296339035,216.76289474964142,216.303936958313,215.43135046958923,216.08784592151642,215.98348540067673,217.1006498336792,216.90137898921967,216.33302611112595,217.23262029886246,215.75316494703293,217.6347979903221,216.26298129558563,213.43815970420837
-140,217.04039919376373,216.78307551145554,216.80094307661057,216.28394955396652,215.4414120912552,216.10221076011658,216.00483733415604,217.13649666309357,216.90663999319077,216.33526891469955,217.25608414411545,215.7951536178589,217.6339147090912,216.31113994121552,213.43015390634537
-139,217.06874877214432,216.76407438516617,216.8415275812149,216.2651960849762,215.4556040763855,216.11563503742218,216.03320914506912,217.16956704854965,216.91319274902344,216.337055683136,217.2738521695137,215.83274978399277,217.63562458753586,216.3599357008934,213.4270716905594
-138,217.08602494001389,216.74618154764175,216.88313001394272,216.24754744768143,215.47424221038818,216.12736362218857,216.06641334295273,217.19958198070526,216.9214716553688,216.3394234776497,217.28541332483292,215.8636993765831,217.63984495401382,216.4085537791252,213.4307460784912
-137,217.09108692407608,216.7300980091095,216.92360889911652,216.23077607154846,215.49644654989243,216.13659709692,216.10206335783005,217.22656053304672,216.93161910772324,216.3426575064659,217.2899997830391,215.88600116968155,217.6466183066368,216.45648473501205,213.44252401590347
-136,217.08376920223236,216.71622741222382,216.96115100383759,216.2146093249321,215.52061623334885,216.14282751083374,216.13797837495804,217.25037962198257,216.9427615404129,216.34657514095306,217.28680872917175,215.898188829422,217.65627264976501,216.5031092762947,213.46222615242004
-135,217.0638936161995,216.70451617240906,216.99480944871902,216.19927263259888,215.54495042562485,216.14714312553406,216.1722224354744,217.27114576101303,216.9535658955574,216.3515803217888,217.2763431072235,215.89947527647018,217.669103205204,216.5480399131775,213.48826217651367
-134,217.0322149991989,216.6955847144127,217.02358090877533,216.18501961231232,215.56813389062881,216.1504117846489,216.20344996452332,217.2890756726265,216.96259254217148,216.35807222127914,217.25972026586533,215.8897843360901,217.6850847005844,216.59106588363647,213.518778860569
-133,216.99023830890656,216.6900633573532,217.04677110910416,216.17210799455643,215.589180290699,216.15093541145325,216.2307898402214,217.3042197227478,216.9691463112831,216.36703699827194,217.23901057243347,215.86980080604553,217.70366287231445,216.63197952508926,213.5522946715355
-132,216.9401313662529,216.6881227493286,217.06421607732773,216.16096031665802,215.60767710208893,216.14936089515686,216.2534384727478,217.31721675395966,216.973918735981,216.3795365691185,217.21661514043808,215.8414945602417,217.7242915034294,216.67025899887085,213.58691722154617
-131,216.8846219778061,216.68923103809357,217.07566326856613,216.15243256092072,215.62324649095535,216.14694541692734,216.27094930410385,217.3290255665779,216.97770899534225,216.39624392986298,217.1943126320839,215.80861699581146,217.74712240695953,216.70555078983307,213.6210559606552
-130,216.82621788978577,216.69274097681046,217.08254539966583,216.14736133813858,215.6357942223549,216.14443284273148,216.2830468416214,217.34028589725494,216.98074746131897,216.41766893863678,217.1736559867859,215.7738659977913,217.7716941833496,216.73716789484024,213.6543419957161
-129,216.76724404096603,216.69865775108337,217.08629965782166,216.1468712091446,215.64565312862396,216.14293390512466,216.2895115017891,217.35145539045334,216.98264920711517,216.44353759288788,217.15624302625656,215.73927092552185,217.79752349853516,216.76446813344955,213.68722546100616
-128,216.70950025320053,216.7073009610176,217.08807939291,216.15132457017899,215.65338015556335,216.14214128255844,216.2901085615158,217.3623287677765,216.98316776752472,216.4732242822647,217.1436939239502,215.70610010623932,217.82402557134628,216.78759109973907,213.71985864639282
-127,216.65457516908646,216.719382584095,217.08923363685608,216.16036397218704,215.6594620347023,216.1405862569809,216.28580057621002,217.3727257847786,216.98216992616653,216.50560945272446,217.1367552280426,215.67463368177414,217.8508157134056,216.80614918470383,213.75221580266953
-126,216.60412645339966,216.73565524816513,217.09102988243103,216.17309254407883,215.6637703180313,216.13718521595,216.27852368354797,217.38242506980896,216.9787513613701,216.5388668179512,217.13528645038605,215.64548206329346,217.87729597091675,216.81955355405807,213.78427493572235
-125,216.55970150232315,216.75678026676178,217.09516823291779,216.18834006786346,215.66588711738586,216.13189554214478,216.26983630657196,217.39175862073898,216.9719027876854,216.57121914625168,217.13847714662552,215.61864560842514,217.90276837348938,216.82744699716568,213.81573379039764
-124,216.5222403407097,216.78295516967773,217.10254603624344,216.20498156547546,215.66553032398224,216.12511962652206,216.2611129283905,217.40151929855347,216.96068805456161,216.60111683607101,217.14523011446,215.593203663826,217.92690116167068,216.82976073026657,213.8481666445732
-123,216.49188214540482,216.81417328119278,217.11309903860092,216.22222393751144,215.66240644454956,216.11810094118118,216.25283634662628,217.41223812103271,216.9448979496956,216.62802475690842,217.1546784043312,215.56773483753204,217.95018869638443,216.82653838396072,213.8820977807045
-122,216.46870517730713,216.850232899189,217.1264809370041,216.2397137284279,215.65650922060013,216.111798286438,216.2454144358635,217.4246118068695,216.92488086223602,216.6511753797531,217.1660640835762,215.5412231683731,217.97360932826996,216.8185537457466,213.91697400808334
-121,216.45333409309387,216.8905450105667,217.14208114147186,216.2573047876358,215.64809995889664,216.10693138837814,216.23906874656677,217.43893986940384,216.90162897109985,216.66956108808517,217.17850399017334,215.51361101865768,217.9976800084114,216.8061729669571,213.95159196853638
