shift,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18,pair_19,pair_20,pair_21
-144,216.6923444867134,219.30190151929855,216.6923444867134,219.30190151929855,216.68344259262085,214.67641586065292,217.52030730247498,216.0407565832138,215.71556574106216,215.8502608537674,216.01693314313889,215.81371492147446,215.5304102897644,216.6100733280182,215.7046554684639,217.18488955497742,216.35444271564484,216.4556743502617,216.10420030355453,215.2486235499382
-143,216.6909372806549,219.28459239006042,216.6909372806549,219.28459239006042,216.68558859825134,214.67776864767075,217.48996323347092,216.0404091477394,215.74853706359863,215.86452758312225,216.00330865383148,215.82011550664902,215.5528137087822,216.62949913740158,215.68559473752975,217.18461215496063,216.38869059085846,216.44945919513702,216.12716114521027,215.26527100801468
-142,216.69549095630646,219.26911532878876,216.69549095630646,219.26911532878876,216.69080764055252,214.69095355272293,217.45761770009995,216.03750556707382,215.78452372550964,215.8823897242546,215.9941519498825,215.81364476680756,215.5795332789421,216.6459755897522,215.6678717136383,217.1881068944931,216.4227482676506,216.43776512145996,216.1524522304535,215.2772383093834
-141,216.7051738500595,219.25662904977798,216.7051738500595,219.25662904977798,216.69859009981155,214.7155401110649,217.42564624547958,216.03285783529282,215.8215730190277,215.90367156267166,215.9897876381874,215.79528188705444,215.61083382368088,216.65909093618393,215.65110337734222,217.19383335113525,216.4533450603485,216.42010992765427,216.17831778526306,215.28553688526154
-140,216.71907621622086,219.2482609152794,216.71907621622086,219.2482609152794,216.70800441503525,214.7493490576744,217.39616322517395,216.02816808223724,215.8588788509369,215.9283053278923,215.98984771966934,215.76620346307755,215.6462560892105,216.66903072595596,215.63440150022507,217.20029413700104,216.47762191295624,216.39814347028732,216.20258903503418,215.29152464866638
-139,216.73686623573303,219.24454021453857,216.73686623573303,219.24454021453857,216.71929216384888,214.78975945711136,217.36998575925827,216.02476304769516,215.89595311880112,215.95700734853745,215.99336862564087,215.7284471988678,215.68589824438095,216.67699301242828,215.61702221632004,217.2067016363144,216.49435359239578,216.37350368499756,216.22354477643967,215.29631251096725
-138,216.75785928964615,219.2454497218132,216.75785928964615,219.2454497218132,216.73233526945114,214.83407354354858,217.3470237851143,216.0232605934143,215.93138402700424,215.990325152874,215.9991112947464,215.6844426393509,215.7292766571045,216.6839325428009,215.59828573465347,217.21252328157425,216.50379675626755,216.347591817379,216.24061977863312,215.30065655708313
-137,216.78134059906006,219.2504591345787,216.78134059906006,219.2504591345787,216.7471678853035,214.8795719742775,217.32685965299606,216.02354764938354,215.9638175368309,216.02774000167847,216.00576388835907,215.63683998584747,215.77538168430328,216.6912482380867,215.57712930440903,217.21712923049927,216.50712764263153,216.32133853435516,216.25401431322098,215.3051876425743
-136,216.8064008951187,219.25879949331284,216.8064008951187,219.25879949331284,216.7631278038025,214.92399901151657,217.30893129110336,216.02550899982452,215.9920666217804,216.0678426027298,216.0121802687645,215.58869498968124,215.82271933555603,216.70031797885895,215.5523300766945,217.22005170583725,216.5060931444168,216.29496586322784,216.26350098848343,215.31012630462646
-135,216.83192241191864,219.2699527144432,216.83192241191864,219.2699527144432,216.77969127893448,214.9666456580162,217.29171341657639,216.028737783432,216.01496702432632,216.10865312814713,216.01814877986908,215.5417878627777,215.86911362409592,216.71167874336243,215.52337616682053,217.2210835814476,216.5020071864128,216.26813024282455,216.26887661218643,215.31520706415176
-134,216.85666024684906,219.28337228298187,216.85666024684906,219.28337228298187,216.79635113477707,215.00752437114716,217.2740808725357,216.03241831064224,216.0318142771721,216.1488995552063,216.0240631699562,215.49743223190308,215.9127378463745,216.72588527202606,215.49072700738907,217.22010624408722,216.49607849121094,216.24039763212204,216.27049350738525,215.3201920390129
-133,216.87980890274048,219.29865044355392,216.87980890274048,219.29865044355392,216.81248205900192,215.04655027389526,217.25522929430008,216.03547579050064,216.04255241155624,216.1884977221489,216.03076666593552,215.4567944407463,215.95291244983673,216.74327725172043,215.4553330540657,217.21740126609802,216.4896022081375,216.21163129806519,216.26854610443115,215.32619106769562
-132,216.9004966020584,219.31516027450562,216.9004966020584,219.31516027450562,216.82718217372894,215.08322697877884,217.23495548963547,216.0371498465538,216.0476251244545,216.22750335931778,216.0380626320839,215.419955432415,215.98832827806473,216.76308923959732,215.41896986961365,217.2139173746109,216.48400616645813,216.18204486370087,216.26305842399597,215.33498203754425
-131,216.9186600446701,219.33210057020187,216.9186600446701,219.33210057020187,216.83986580371857,215.11694437265396,217.21387785673141,216.03655815124512,216.04788744449615,216.26495057344437,216.04575145244598,215.38760590553284,216.0183299779892,216.78400963544846,215.38430494070053,217.21045577526093,216.4808350801468,216.15165269374847,216.25456714630127,215.34706324338913
-130,216.93484145402908,219.34868609905243,216.93484145402908,219.34868609905243,216.85068207979202,215.1472287774086,217.19327414035797,216.0330210328102,216.04446005821228,216.30013996362686,216.05333405733109,215.36014664173126,216.04310983419418,216.80433839559555,215.3540941476822,217.2073568701744,216.48139226436615,216.12131494283676,216.24330109357834,215.36063224077225
-129,216.94984209537506,219.36407101154327,216.94984209537506,219.36407101154327,216.86139583587646,215.17366313934326,217.17421489953995,216.02648037672043,216.03815513849258,216.33221405744553,216.06050902605057,215.3377736210823,216.06335455179214,216.82208222150803,215.33021825551987,217.20487195253372,216.48637837171555,216.09281206130981,216.22912752628326,215.37454116344452
-128,216.96403110027313,219.3774790763855,216.96403110027313,219.3774790763855,216.8737018108368,215.19561725854874,217.157928109169,216.0179443359375,216.0287790298462,216.36060482263565,216.06679886579514,215.32080209255219,216.0798840522766,216.83543944358826,215.31389373540878,217.20322984457016,216.4959717988968,216.0681390762329,216.21240603923798,215.3873175382614
-127,216.9770432114601,219.38834273815155,216.9770432114601,219.38834273815155,216.88857156038284,215.212511241436,217.14588576555252,216.00887352228165,216.01614958047867,216.38486582040787,216.07124030590057,215.30958199501038,216.09362334012985,216.84348767995834,215.30619913339615,217.20272809267044,216.51033872365952,216.04878383874893,216.1940187215805,215.39873081445694
-126,216.98846381902695,219.39665538072586,216.98846381902695,219.39665538072586,216.9071408510208,215.22437453269958,217.13944685459137,216.00073367357254,216.00028556585312,216.40532851219177,216.07331103086472,215.30498683452606,216.10577648878098,216.84559005498886,215.30719256401062,217.20373964309692,216.5295468568802,216.03599154949188,216.17542791366577,215.40783727169037
-125,216.9983924627304,219.4026974439621,216.9983924627304,219.4026974439621,216.9296439886093,215.23118549585342,217.13936865329742,215.9950486421585,215.98161554336548,216.4218927025795,216.07334703207016,215.30775839090347,216.1169916987419,216.84170001745224,215.31634664535522,217.206969499588,216.5530259013176,216.03001654148102,216.15838885307312,215.41316556930542
