overlap_fraction,overlap_percent,pair_name,expected_shift,best_shift,signed_error,abs_error,peak_corr,status
0.55,55.00000000000001,pair_04,89.99999999999999,90.0,1.4210854715202004e-14,1.4210854715202004e-14,217.21969735622406,ok
0.55,55.00000000000001,pair_05,89.99999999999999,90.0,1.4210854715202004e-14,1.4210854715202004e-14,217.18061465024948,ok
0.55,55.00000000000001,pair_06,89.99999999999999,89.0,-0.9999999999999858,0.9999999999999858,218.33665698766708,ok
0.55,55.00000000000001,pair_07,89.99999999999999,90.0,1.4210854715202004e-14,1.4210854715202004e-14,217.41224992275238,ok
0.55,55.00000000000001,pair_08,89.99999999999999,91.0,1.0000000000000142,1.0000000000000142,218.8237537741661,ok
0.55,55.00000000000001,pair_09,89.99999999999999,90.0,1.4210854715202004e-14,1.4210854715202004e-14,218.9978744983673,ok
0.55,55.00000000000001,pair_10,89.99999999999999,90.0,1.4210854715202004e-14,1.4210854715202004e-14,216.36897367238998,ok
0.55,55.00000000000001,pair_11,89.99999999999999,90.0,1.4210854715202004e-14,1.4210854715202004e-14,218.7007183432579,ok
0.55,55.00000000000001,pair_12,89.99999999999999,-180.0,-270.0,270.0,217.78659147024155,ok
0.55,55.00000000000001,pair_13,89.99999999999999,88.0,-1.9999999999999858,1.9999999999999858,216.6731854081154,ok
0.55,55.00000000000001,pair_14,89.99999999999999,90.0,1.4210854715202004e-14,1.4210854715202004e-14,217.07529896497726,ok
0.56,56.00000000000001,pair_00,87.99999999999999,87.0,-0.9999999999999858,0.9999999999999858,217.71663916110992,ok
0.58,57.99999999999999,pair_00,84.00000000000001,83.0,-1.0000000000000142,1.0000000000000142,216.29212468862534,ok
0.6,60.0,pair_00,80.0,78.0,-2.0,2.0,217.49709552526474,ok
0.6,60.0,pair_01,80.0,80.0,0.0,0.0,217.61890250444412,ok
0.6,60.0,pair_02,80.0,79.0,-1.0,1.0,217.8833590745926,ok
0.6,60.0,pair_03,80.0,79.0,-1.0,1.0,218.44887524843216,ok
0.6,60.0,pair_04,80.0,79.0,-1.0,1.0,218.51367312669754,ok
0.6,60.0,pair_05,80.0,79.0,-1.0,1.0,218.44887524843216,ok
0.6,60.0,pair_06,80.0,79.0,-1.0,1.0,216.8719910979271,ok
0.6,60.0,pair_07,80.0,180.0,100.0,100.0,217.73897355794907,ok
0.6,60.0,pair_08,80.0,79.0,-1.0,1.0,219.17197555303574,ok
0.6,60.0,pair_09,80.0,79.0,-1.0,1.0,219.12191772460938,ok
0.6,60.0,pair_10,80.0,79.0,-1.0,1.0,218.57842415571213,ok
0.6,60.0,pair_11,80.0,80.0,0.0,0.0,219.86298537254333,ok
0.6,60.0,pair_12,80.0,79.0,-1.0,1.0,217.83735597133636,ok
0.6,60.0,pair_13,80.0,80.0,0.0,0.0,217.82148730754852,ok
0.6,60.0,pair_14,80.0,79.0,-1.0,1.0,218.09332662820816,ok
0.6,60.0,pair_15,80.0,78.0,-2.0,2.0,218.4206708073616,ok
0.6,60.0,pair_16,80.0,80.0,0.0,0.0,218.05636847019196,ok
0.6,60.0,pair_17,80.0,79.0,-1.0,1.0,218.39785820245743,ok
0.6,60.0,pair_18,80.0,79.0,-1.0,1.0,217.96569269895554,ok
0.62,62.0,pair_00,76.0,75.0,-1.0,1.0,217.7353954911232,ok
0.64,64.0,pair_00,72.0,71.0,-1.0,1.0,218.64855635166168,ok
