shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18
-136,215.7334263920784,215.7103852033615,216.25009161233902,216.98060059547424,217.04008382558823,216.98060059547424,215.27697801589966,216.73132890462875,217.77253991365433,217.65679740905762,217.1733369231224,217.83569157123566,216.1514304280281,216.18481135368347,216.74772745370865,216.38271099328995,215.6673133969307,216.5979881286621,216.29583024978638
-135,215.75604140758514,215.73185366392136,216.26547944545746,216.99542021751404,217.01442140340805,216.99542021751404,215.28587526082993,216.71354341506958,217.77783167362213,217.6669763326645,217.17492562532425,217.84975159168243,216.1513011455536,216.23647958040237,216.74409675598145,216.3912232518196,215.6683047413826,216.63186341524124,216.27543318271637
-134,215.77817904949188,215.75359278917313,216.28145283460617,217.01004666090012,216.99242067337036,217.01004666090012,215.2907002568245,216.68931871652603,217.78525173664093,217.67270463705063,217.17217481136322,217.86271637678146,216.15850961208344,216.29156482219696,216.7397267818451,216.39796417951584,215.6665514111519,216.6690937280655,216.2581661939621
-133,215.7991315126419,215.77551591396332,216.29705959558487,217.02336794137955,216.97478067874908,217.02336794137955,215.29169231653214,216.65908575057983,217.7954095005989,217.67452490329742,217.16570603847504,217.87533730268478,216.1716087460518,216.34739685058594,216.7347338795662,216.40183824300766,215.6616644859314,216.70861732959747,216.24552065134048
-132,215.81775856018066,215.7978830933571,216.31137877702713,217.03435242176056,216.96202903985977,217.03435242176056,215.28976160287857,216.6240834593773,217.80879253149033,217.6739444732666,217.15646350383759,217.88836646080017,216.18882137537003,216.40187042951584,216.72990435361862,216.40236043930054,215.6532759666443,216.74926614761353,216.23859453201294
-131,215.83316487073898,215.8215932250023,216.32421052455902,217.0422830581665,216.95500618219376,217.0422830581665,215.2857345342636,216.58594125509262,217.8249253630638,217.67237520217896,217.1455653309822,217.9024811387062,216.2087845802307,216.4534033536911,216.725461602211,216.39957237243652,215.64211177825928,216.79005032777786,216.2384979724884
-130,215.8464633822441,215.84768611192703,216.3357800245285,217.0459268093109,216.9544169306755,217.0459268093109,215.28029483556747,216.54700142145157,217.84310805797577,217.67070096731186,217.13407003879547,217.91891139745712,216.23011529445648,216.501218855381,216.7215029001236,216.39404433965683,215.62970423698425,216.83056724071503,216.2459586262703
-129,215.85886949300766,215.87655293941498,216.34574311971664,217.0445613861084,216.96072924137115,217.0445613861084,215.2747967839241,216.50982242822647,217.8617998957634,217.66968071460724,217.12274438142776,217.9382711648941,216.2509507536888,216.54476988315582,216.71832299232483,216.3871164917946,215.61783915758133,216.87027752399445,216.2609001994133
-128,215.8717826604843,215.90777242183685,216.35406059026718,217.03810220956802,216.97412717342377,217.03810220956802,215.27000319957733,216.4768043756485,217.879096865654,217.67012494802475,217.11197501420975,217.96018886566162,216.27015841007233,216.58317637443542,216.7157959342003,216.3805987238884,215.60815554857254,216.90799701213837,216.28305131196976
-127,215.88611590862274,215.94049680233002,216.3602237701416,217.0271155834198,216.99443662166595,217.0271155834198,215.2663705945015,216.4501975774765,217.89382308721542,217.673126578331,217.1021112203598,217.9838631749153,216.28727209568024,216.61540859937668,216.71340608596802,216.37702786922455,215.6027929186821,216.9421859383583,216.31165879964828
-126,215.90174823999405,215.974114716053,216.36372047662735,217.01290261745453,217.02109932899475,217.01290261745453,215.26394641399384,216.4315608739853,217.90567952394485,217.6790286898613,217.09338295459747,218.007915019989,216.30253690481186,216.64090514183044,216.71129709482193,216.37921780347824,215.6031853556633,216.9713886976242,216.34581738710403
-125,215.91841512918472,216.00840145349503,216.36418628692627,216.9963731765747,217.05337297916412,216.9963731765747,215.26243436336517,216.4211500287056,217.91472333669662,217.68749058246613,217.0858114361763,218.0309683084488,216.31632959842682,216.65977466106415,216.70977771282196,216.3890020251274,215.60937494039536,216.9947497844696,216.38410395383835
-124,215.93658035993576,216.04257583618164,216.3618410229683,216.97832971811295,217.09019964933395,216.97832971811295,215.26181602478027,216.41848295927048,217.92103189229965,217.69752222299576,217.07917922735214,218.05159413814545,216.32886856794357,216.6721722483635,216.70927107334137,216.40744072198868,215.62012845277786,217.01196259260178,216.4251646399498
-123,215.95735973119736,216.0758736729622,216.35680359601974,216.95987820625305,217.1304069161415,216.95987820625305,215.26238203048706,216.4225596189499,217.9250603914261,217.70830750465393,217.07355004549026,218.06920057535172,216.34059810638428,216.67895102500916,216.71054500341415,216.43479365110397,215.63335502147675,217.0227245092392,216.4683289527893
-122,215.9818195104599,216.10778295993805,216.3486284017563,216.9420890212059,217.17319476604462,216.9420890212059,215.26452320814133,216.4322012066841,217.92719131708145,217.71896940469742,217.06901448965073,218.08362251520157,216.35194194316864,216.6819362640381,216.71410584449768,216.46982884407043,215.64766037464142,217.0272045135498,216.51291698217392
-121,216.0103240609169,216.13749808073044,216.3369180560112,216.92562478780746,217.21816205978394,216.92562478780746,215.26902616024017,216.44626605510712,217.92803794145584,217.72791129350662,217.06546634435654,218.0948053598404,216.3633999824524,216.68276453018188,216.71978479623795,216.51029205322266,215.66286993026733,217.02586209774017,216.55707848072052
-120,216.0436881184578,216.16399842500687,216.32177263498306,216.91042774915695,217.26468509435654,216.91042774915695,215.27696055173874,216.46432930231094,217.92684698104858,217.7334060072899,217.0629165172577,218.1031150817871,216.37482130527496,216.68211382627487,216.72697073221207,216.552838742733,215.6791069507599,217.01927959918976,216.5987828373909
-119,216.0825321674347,216.18600249290466,216.30386233329773,216.89633655548096,217.31203466653824,216.89633655548096,215.28871566057205,216.48530662059784,217.92292881011963,217.73354589939117,217.0612969994545,218.10935336351395,216.38573503494263,216.67998546361923,216.73513782024384,216.59391939640045,215.69622606039047,217.00850588083267,216.63649880886078
-118,216.12589019536972,216.20274662971497,216.28353905677795,216.88328212499619,217.3591541647911,216.88328212499619,215.30446791648865,216.5075660943985,217.91619962453842,217.72660475969315,217.0609918832779,218.1139487028122,216.3957406282425,216.6768660545349,216.74486327171326,216.6304875612259,215.71432620286942,216.9950687289238,216.66914820671082
-117,216.1718714237213,216.21357476711273,216.26182675361633,216.8716030716896,217.40462565422058,216.8716030716896,215.32420694828033,216.5297630429268,217.9069780111313,217.7118195295334,217.06266778707504,218.11719578504562,216.40459322929382,216.6732358932495,216.7567234635353,216.661241710186,215.73173648118973,216.9814888238907,216.6956832408905
-116,216.21786218881607,216.2179270386696,216.24005544185638,216.8618751168251,217.44675773382187,216.8618751168251,215.34803712368011,216.55101084709167,217.89573580026627,217.68925458192825,217.0670245885849,218.11930310726166,216.41224265098572,216.66983914375305,216.77138721942902,216.68569380044937,215.7462614774704,216.96933698654175,216.71577602624893
-115,216.2614433169365,216.215811252594,216.21922409534454,216.8542275428772,217.484326004982,216.8542275428772,215.3753361105919,216.57116031646729,217.88301807641983,217.65935868024826,217.07424187660217,218.12037593126297,216.4187404513359,216.66765028238297,216.78923106193542,216.70301282405853,215.7567274570465,216.9595386981964,216.72978579998016
-114,216.30070441961288,216.2082182765007,216.20000839233398,216.84909969568253,217.51638573408127,216.84909969568253,215.4048193693161,216.59075474739075,217.8697034716606,217.6230502128601,217.08487993478775,218.12073290348053,216.4246710538864,216.6675232052803,216.81058728694916,216.7125921845436,215.76231729984283,216.95339065790176,216.73833853006363
