shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10
5,222.22527861595154,223.4889531135559,222.78794521093369,222.4585200548172,221.90864837169647,222.81065940856934,222.96949303150177,221.94219714403152,221.92352277040482,222.43771541118622,222.57512038946152
6,222.88435477018356,223.83890920877457,223.3165130019188,223.04152512550354,222.64712971448898,223.33457189798355,223.45170670747757,222.66842311620712,222.64165610074997,223.04772090911865,223.1370576620102
7,223.45174330472946,224.13708025217056,223.77253490686417,223.53836447000504,223.27926486730576,223.77956289052963,223.8650770187378,223.29339462518692,223.25714820623398,223.57059329748154,223.61935544013977
8,223.8890504837036,224.3631619811058,224.1234633922577,223.91446566581726,223.75882464647293,224.11587357521057,224.1812440752983,223.77146631479263,223.72689282894135,223.96876114606857,223.98895531892776
9,224.160581946373,224.49867624044418,224.33884704113007,224.1382131576538,224.04333299398422,224.31650602817535,224.3741363286972,224.060113966465,224.01108068227768,224.2079637646675,224.21543943881989
10,224.2397449016571,224.53040570020676,224.39612543582916,224.18695133924484,224.10300660133362,224.36209672689438,224.42462837696075,224.12793213129044,224.08065158128738,224.26390117406845,224.27651411294937
11,224.11712872982025,224.45496428012848,224.28833603858948,224.05411785840988,223.93048512935638,224.24736005067825,224.3272585272789,223.96569806337357,223.92731499671936,224.1301992535591,224.16525346040726
12,223.80506151914597,224.28044945001602,224.02781873941422,223.75263553857803,223.5443139076233,223.98372602462769,224.0928292274475,223.59063744544983,223.56731390953064,223.82176423072815,223.89328438043594
13,223.3320747613907,224.02287364006042,223.64054155349731,223.30944353342056,222.98116701841354,223.59454798698425,223.74352878332138,223.03872525691986,223.03409951925278,223.368223965168,223.48575645685196
14,222.73442500829697,223.7019653916359,223.15875470638275,222.758338868618,222.28621101379395,223.10875725746155,223.30682748556137,222.3544646501541,222.3692228794098,222.80596047639847,222.9746361374855
15,222.05070596933365,223.3384072780609,222.6161566376686,222.13474828004837,221.50569874048233,222.55655145645142,222.81143659353256,221.58355182409286,221.61586368083954,222.17257845401764,222.39365750551224
16,221.31787103414536,222.9519403576851,222.04443883895874,221.4725445508957,220.68192011117935,221.96707314252853,222.2845528125763,220.76845997571945,220.8148329257965,221.50312691926956,221.77494084835052
17,220.56873780488968,222.55989402532578,221.47078031301498,220.80141562223434,219.85082691907883,221.3663773536682,221.74994629621506,219.94585186243057,220.00194424390793,220.82796102762222,221.14641404151917
18,219.83056110143661,222.17674487829208,220.91662061214447,220.14557868242264,219.04084599018097,220.77643018960953,221.22731792926788,219.14558851718903,219.20624387264252,220.1718887090683,220.53108471632004
19,219.12457525730133,221.81380486488342,220.39798367023468,219.52377223968506,218.27309584617615,220.21450793743134,220.73189854621887,218.3902708888054,218.44990295171738,219.55335825681686,219.94659608602524
20,218.46611654758453,221.47929972410202,219.92530119419098,218.94942581653595,217.5624617934227,219.69354689121246,220.27434092760086,217.69566571712494,217.74850410223007,218.984694480896,219.4054155945778
21,217.8655240535736,221.17850142717361,219.50408506393433,218.4311745762825,216.9186054468155,219.22185003757477,219.86140620708466,217.07126998901367,217.1120138168335,218.47322809696198,218.91533315181732
22,217.32883340120316,220.91407078504562,219.13630598783493,217.97329092025757,216.3466882109642,218.80396795272827,219.49628520011902,216.52146208286285,216.5455339550972,218.02238261699677,218.48026245832443
23,216.85840106010437,220.68641996383667,218.82141345739365,217.57605397701263,215.84846633672714,218.44133055210114,219.17961430549622,216.04603439569473,216.05031472444534,217.63238298892975,218.10092359781265
24,216.45345795154572,220.49425917863846,218.5567616224289,217.23724687099457,215.422802567482,218.13285714387894,218.90969675779343,215.64129275083542,215.62531089782715,217.3011788725853,217.77577263116837
