shift,pair_00,pair_01,pair_02
-94,217.35824036598206,216.50400191545486,218.1559048295021
-93,217.34794914722443,216.5055291056633,218.17758363485336
-92,217.3391814827919,216.50752311944962,218.20172238349915
-91,217.33220583200455,216.5098449587822,218.2271271944046
-90,217.327461540699,216.51275765895844,218.25247329473495
-89,217.32560467720032,216.51638740301132,218.27644097805023
-88,217.3274552822113,216.520523250103,218.29822903871536
-87,217.33326894044876,216.52482110261917,218.3171627521515
-86,217.34329116344452,216.52880722284317,218.33268702030182
-85,217.35785740613937,216.5324987769127,218.34468585252762
-84,217.37664991617203,216.53674507141113,218.3539355993271
-83,217.39892083406448,216.54148584604263,218.3610492348671
-82,217.42351019382477,216.54601389169693,218.36638414859772
-81,217.44897937774658,216.54995453357697,218.37056136131287
-80,217.47413611412048,216.5532574057579,218.37444829940796
-79,217.49796450138092,216.55599915981293,218.37889575958252
-78,217.51918679475784,216.55831158161163,218.3846516609192
-77,217.53650265932083,216.5602262020111,218.39199495315552
-76,217.54922890663147,216.5616888999939,218.40071135759354
-75,217.55713456869125,216.5626351237297,218.4103998541832
-74,217.5602866411209,216.5630156993866,218.42051935195923
-73,217.559028506279,216.56268161535263,218.4306240081787
-72,217.55420273542404,216.56167340278625,218.44035053253174
-71,217.54659759998322,216.56013065576553,218.44916957616806
-70,217.53699493408203,216.5583941936493,218.4564801454544
-69,217.52584278583527,216.55688613653183,218.46156305074692
-68,217.51340597867966,216.55588120222092,218.46383446455002
-67,217.50014662742615,216.5552942752838,218.46330827474594
-66,217.48676228523254,216.55468583106995,218.4600237607956
-65,217.4737538099289,216.5533286333084,218.45418292284012
-64,217.46176195144653,216.55020970106125,218.44657719135284
-63,217.45123970508575,216.5443992614746,218.4380021095276
-62,217.4424484372139,216.53537964820862,218.42893993854523
-61,217.4354292154312,216.52293479442596,218.41955530643463
-60,217.43025249242783,216.50723576545715,218.4100962281227
-59,217.42708653211594,216.48870062828064,218.4006631374359
-58,217.42589163780212,216.46756094694138,218.39129143953323
-57,217.42653852701187,216.44457268714905,218.38228756189346
-56,217.42882066965103,216.42084151506424,218.37415862083435
-55,217.43227404356003,216.39765852689743,218.36700624227524
-54,217.43617969751358,216.37647169828415,218.36080598831177
-53,217.43954533338547,216.35872304439545,218.35544562339783
-52,217.4415545463562,216.3453325033188,218.35074204206467
-51,217.44145315885544,216.33663529157639,218.34630477428436
-50,217.4388411641121,216.33243972063065,218.34182143211365
-49,217.43356102705002,216.33213263750076,218.33715724945068
-48,217.4254851937294,216.33484429121017,218.33254754543304
