shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12
-84,217.9718977212906,216.58474040031433,217.1833239197731,216.62964767217636,217.39285588264465,215.49573761224747,218.5454699397087,215.74827378988266,216.98211354017258,215.4091985821724,216.30989176034927,215.54779547452927,214.6058305501938
-83,217.961212515831,216.61444801092148,217.18267369270325,216.62176954746246,217.40575903654099,215.49218398332596,218.5446527004242,215.7431365251541,216.9966168999672,215.4155673980713,216.3146374821663,215.55497610569,214.5604351758957
-82,217.94911932945251,216.63916444778442,217.18001574277878,216.6152165532112,217.42294049263,215.49076068401337,218.5448768734932,215.73599964380264,217.0080955028534,215.42667418718338,216.3156972527504,215.56121295690536,214.51804435253143
-81,217.93701702356339,216.65718215703964,217.17577558755875,216.61014878749847,217.44328147172928,215.49098479747772,218.5463815331459,215.72762125730515,217.0168892145157,215.44081354141235,216.31366926431656,215.5663479566574,214.48108631372452
-80,217.92605662345886,216.66779798269272,217.1704467535019,216.6067408323288,217.4655443429947,215.49233096837997,218.54931473731995,215.71881532669067,217.0234810113907,215.45632362365723,216.30905389785767,215.5710934996605,214.45152139663696
-79,217.91756772994995,216.67088109254837,217.16446334123611,216.60529220104218,217.4884705543518,215.4946587085724,218.55372446775436,215.71014720201492,217.0290043950081,215.47144150733948,216.30229514837265,215.57541626691818,214.43056100606918
-78,217.91269904375076,216.66690236330032,217.15816342830658,216.60594034194946,217.5106536746025,215.4973787665367,218.55980801582336,215.7020269036293,217.03440207242966,215.48442471027374,216.29360061883926,215.5790023803711,214.41870868206024
-77,217.91198402643204,216.65692830085754,217.1519012451172,216.60835754871368,217.53049302101135,215.49991804361343,218.5680421590805,215.69449758529663,217.04038256406784,215.4941290616989,216.2835886478424,215.58163422346115,214.41602057218552
-76,217.91573631763458,216.6426852941513,217.14584058523178,216.61214345693588,217.54675143957138,215.50166404247284,218.57853537797928,215.6875149011612,217.0477996468544,215.4999514222145,216.2729709148407,215.58299911022186,214.42159950733185
-75,217.92371863126755,216.6257947087288,217.14037495851517,216.61646354198456,217.55848282575607,215.50213646888733,218.59114331007004,215.68087750673294,217.05747437477112,215.50121641159058,216.2623913884163,215.58286499977112,214.4344977736473
-74,217.9352815747261,216.60763442516327,217.13599580526352,216.62047863006592,217.5652647614479,215.5011249780655,218.60557180643082,215.67410856485367,217.06993907690048,215.4978905916214,216.25236028432846,215.58098179101944,214.45373541116714
-73,217.94926792383194,216.58950954675674,217.13336384296417,216.6233423948288,217.56759506464005,215.49861645698547,218.62168073654175,215.66646260023117,217.0853652358055,215.4903491139412,216.24319034814835,215.57707357406616,214.47840470075607
-72,217.96460902690887,216.572232067585,217.13295775651932,216.6246416568756,217.56627774238586,215.49519914388657,218.6391533613205,215.65696513652802,217.10363829135895,215.47912162542343,216.23482167720795,215.57076740264893,214.50785207748413
-71,217.98025059700012,216.55617308616638,217.13502633571625,216.6246926188469,217.56226831674576,215.49166131019592,218.65744441747665,215.64507341384888,217.12453037500381,215.46498101949692,216.2267255783081,215.56163775920868,214.54166704416275
-70,217.99532306194305,216.54123950004578,217.1396313905716,216.62389832735062,217.55687189102173,215.48868030309677,218.6759107708931,215.63080894947052,217.14749431610107,215.44870853424072,216.21833789348602,215.54901933670044,214.57944852113724
-69,218.00918000936508,216.52717471122742,217.14671570062637,216.62265276908875,217.55159628391266,215.4866788983345,218.69400548934937,215.61417478322983,217.17177695035934,215.43041396141052,216.20930314064026,215.53249549865723,214.61994475126266
-68,218.02139699459076,216.51343494653702,217.1565718650818,216.62141329050064,217.54794025421143,215.48627084493637,218.711284160614,215.59556007385254,217.19670754671097,215.41048109531403,216.19956934452057,215.51214402914047,214.66138237714767
-67,218.03159713745117,216.49980801343918,217.1694416999817,216.62053900957108,217.54711270332336,215.48841667175293,218.72717243433,215.57536500692368,217.22189247608185,215.3895462155342,216.18954014778137,215.4887745976448,214.70174419879913
-66,218.04006165266037,216.48653483390808,217.18536162376404,216.62047684192657,217.55011981725693,215.49382865428925,218.7412496805191,215.55454099178314,217.24708300828934,215.3680943250656,216.1802660226822,215.46377211809158,214.73900479078293
-65,218.04754894971848,216.4747086763382,217.2041778564453,216.62177526950836,217.55763405561447,215.50287067890167,218.7532980442047,215.53429347276688,217.27167999744415,215.34669160842896,216.1733639240265,215.43895882368088,214.7719605565071
-64,218.0547330379486,216.46597915887833,217.22549772262573,216.62506592273712,217.57002180814743,215.51592552661896,218.76322132349014,215.51624649763107,217.2951105237007,215.32621783018112,216.17058891057968,215.41660797595978,214.7996341586113
-63,218.06238335371017,216.46175438165665,217.2487826347351,216.630892932415,217.587462246418,215.5328415632248,218.77116400003433,215.50264829397202,217.31686717271805,215.30765515565872,216.1733894944191,215.39768379926682,214.8210318684578
-62,218.07125186920166,216.46299827098846,217.27331376075745,216.63938146829605,217.60948222875595,215.5529688000679,218.777596950531,215.49560397863388,217.33667135238647,215.29170322418213,216.18307238817215,215.38222885131836,214.83537143468857
-61,218.0818231701851,216.47006678581238,217.29824095964432,216.65076380968094,217.63490891456604,215.57518231868744,218.78266656398773,215.49650210142136,217.3544276356697,215.2789043188095,216.2003253698349,215.3702129125595,214.84278339147568
-60,218.09418600797653,216.48297548294067,217.32284754514694,216.66504168510437,217.66235095262527,215.59818583726883,218.78625446558,215.50586146116257,217.36993730068207,215.26990115642548,216.22507482767105,215.36118376255035,214.8440893292427
-59,218.1082067489624,216.50133234262466,217.34651905298233,216.68199002742767,217.69016695022583,215.62103551626205,218.78834336996078,215.5232782959938,217.38303762674332,215.2653547525406,216.25669342279434,215.35433185100555,214.8407765030861
-58,218.123497068882,216.5241922736168,217.36899787187576,216.70116919279099,217.71673423051834,215.64316874742508,218.78896725177765,215.54764640331268,217.39366525411606,215.26635724306107,216.29404109716415,215.34884303808212,214.83440744876862
-57,218.13943803310394,216.55038553476334,217.39010602235794,216.72252923250198,217.74059510231018,215.66408151388168,218.7881229519844,215.57727175951004,217.40199154615402,215.27384513616562,216.3358587026596,215.3441082239151,214.82648181915283
-56,218.15539819002151,216.57888370752335,217.4100232720375,216.74578082561493,217.76052170991898,215.68298083543777,218.78571277856827,215.61066168546677,217.40889424085617,215.2884737253189,216.38024878501892,215.339506149292,214.81837803125381
-55,218.17078286409378,216.60867929458618,217.42913138866425,216.77058231830597,217.7758858203888,215.69916129112244,218.7817177772522,215.6468430161476,217.41492038965225,215.31101554632187,216.42476511001587,215.33474147319794,214.81140333414078
