overlap_id,pair_id,expected_shift,true_shift,peak1_shift,peak1_value,peak1_idx,peak_std,peak_std_norm,peak_to_baseline_std_ratio,peak2_shift,peak2_value,peak_ratio,peak_margin,baseline_median,baseline_mean,baseline_std,baseline_mad_std,psr_median_mad,psr_mean_std,half_level,level_95,left_cross_50,right_cross_50,width_50,left_cross_95,right_cross_95,width_95,left_width_50,right_width_50,left_width_95,right_width_95,prominence,prominence_left_base_shift,prominence_right_base_shift,candidate_peak_count,is_boundary_peak,incomplete_50,incomplete_95,distance_to_expected,abs_error_true,is_correct_true_1px,is_correct_true_2px,is_correct_true_5px
ovlp_020,pair_10,160.0,160.0,157.0,0.9706692661179437,337,0.002981057667234691,0.003071136350239063,2.178856946705665,151.0,0.968113453918033,1.0026399924405214,0.0025558121999106342,0.9620278584957123,0.9617086368153492,0.0013681750294538234,0.0008671503260135847,9.965293632486102,6.549329661550349,0.966348562306828,0.9702371957368321,148.78315634403754,164.19689416864384,15.4137378246063,154.50443482775157,158.76164937205345,4.257214544301888,8.216843655962464,7.196894168643837,2.4955651722484333,1.761649372053455,0.007666481600867359,-145.0,171.0,9,False,False,False,3.0,3.0,False,False,True
ovlp_020,pair_11,160.0,160.0,158.0,0.9753661640485126,338,0.0030959078487323333,0.003174098059627122,3.1712761231982975,152.0,0.9731538083818224,1.0022733874621206,0.0022123556666902022,0.9666233866744571,0.9662995935297676,0.0009762340863620687,0.0007714931093852684,11.33228186706917,9.287291486134817,0.9709947753614849,0.9749290251798098,148.57446845052408,166.6701864617341,18.09571801121001,155.65168654490472,160.48830008895797,4.83661354405325,9.42553154947592,8.67018646173409,2.34831345509528,2.4883000889579705,0.008401005797915806,-162.0,176.0,8,False,False,False,2.0,2.0,False,True,True
ovlp_020,pair_12,160.0,160.0,158.0,0.9720850616031222,338,0.00242276180368203,0.00249233518688839,2.308788618419516,164.0,0.9702367673979865,1.0019049929535164,0.0018482942051357698,0.9641510433620876,0.9642478345947133,0.0010493649285834294,0.0010324286460081816,7.684810249803748,7.4685429205154215,0.968118052482605,0.9716883606910706,149.66471941905934,168.06511242824305,18.400393009183716,155.95782582243956,160.74267646258699,4.784850640147425,8.335280580940662,10.065112428243054,2.0421741775604403,2.742676462586985,0.0052396867010328085,-144.0,174.0,10,False,False,False,2.0,2.0,False,True,True
ovlp_030,pair_00,140.0,140.0,137.0,0.9756008466084798,317,0.0024521397598968376,0.0025134662074364827,2.007834853691065,131.0,0.9740006144841511,1.0016429477564306,0.0016002321243286932,0.9695839858055115,0.969232365479072,0.0012212855830194367,0.0011069291395345076,5.435633219935385,5.214571610403138,0.9725924162069957,0.9753000035683314,127.14529742652843,144.75662893202195,17.611331505493524,134.8318494828375,139.31549669239854,4.483647209561042,9.85470257347157,7.756628932021954,2.168150517162502,2.31549669239854,0.007884625064002115,-140.0,157.0,7,False,False,False,3.0,3.0,False,False,True
ovlp_030,pair_01,140.0,140.0,138.0,0.9680067761739095,318,0.0028265537756669424,0.002919973129567361,1.7754655510801682,180.0,0.9663225025600857,1.0017429725680211,0.001684273613823839,0.9625838394959767,0.9621259148385791,0.0015920071070640075,0.0016137174437841379,3.3605242967542837,3.693991885611567,0.9652953078349431,0.9677356293400129,130.18536798359395,144.09804533254317,13.912677348949217,135.5384589449254,139.52176240933963,3.9833034644142344,7.814632016406051,6.098045332543165,2.461541055074605,1.5217624093396296,0.008558521005842423,-130.0,159.0,10,False,False,False,2.0,2.0,False,True,True
ovlp_030,pair_02,140.0,140.0,137.0,0.9719060468673706,317,0.003743950133608826,0.003852172898477436,2.381179874948955,131.0,0.9696730060047574,1.0023028802996319,0.0022330408626132225,0.9646125025219388,0.9642981386292313,0.001572308825971866,0.0013820464654763502,5.277351035312671,4.838685703768615,0.9682592746946547,0.971541369650099,129.00822153079625,143.9070549557052,14.898833424908958,134.53059511559852,138.75679311435016,4.226197998751644,7.9917784692037515,6.907054955705206,2.4694048844014844,1.7567931143501596,0.010418544875250957,111.0,161.0,7,False,False,False,3.0,3.0,False,False,True
ovlp_030,pair_03,140.0,140.0,137.0,0.9705545028050742,317,0.002517722629982602,0.0025941074125213352,1.3725611672310187,131.0,0.9689135323630439,1.0016936190766457,0.001640970442030265,0.9644816242323981,0.9636619595405129,0.0018343245387466502,0.0012134012543360802,5.004839537601132,3.7575375125662025,0.9675180635187361,0.9702508588764404,128.0468904491887,144.31542005622524,16.268529607036527,134.56651610419254,138.9765662030567,4.410050098864161,8.953109550811291,7.315420056225236,2.4334838958074556,1.9765662030567057,0.008210077285766837,-137.0,159.0,10,False,False,False,3.0,3.0,False,False,True
ovlp_030,pair_04,140.0,140.0,137.0,0.972962896823883,317,0.0026031127181909046,0.0026754491118710115,1.6510412293262318,131.0,0.9710949865976969,1.0019235092879333,0.0018679102261861535,0.9674714553356172,0.9671756622559495,0.001576649130229898,0.001271778767585772,4.317921975290015,3.6705912919824124,0.9702171760797501,0.9726883247494698,129.16320711525807,144.16187925871867,14.998672143460595,135.0139225315188,139.165375521173,4.151452989654189,7.836792884741925,7.16187925871867,1.9860774684811986,2.16537552117299,0.008625866307152785,-167.0,162.0,9,False,False,False,3.0,3.0,False,False,True
ovlp_030,pair_05,140.0,140.0,138.0,0.963780299027761,318,0.0031924824328241177,0.0033124586962865075,2.6675004807120484,132.0,0.9613134898079765,1.0025660819763147,0.0024668092197844826,0.9570127864678701,0.9568557103814349,0.0011968066944722474,0.0011187278886635183,6.049292798068707,5.785887293502794,0.9603965427478156,0.9634419233997664,130.65668663657306,145.2236932681868,14.567006631613737,136.0025743243248,140.12397669096737,4.12140236664257,7.343313363426944,7.223693268186793,1.9974256756752027,2.1239766909673676,0.009244879881541102,103.0,160.0,10,False,False,False,2.0,2.0,False,True,True
ovlp_030,pair_06,140.0,140.0,138.0,0.9757015628284879,318,0.0021656126701102094,0.002219544123545581,2.2889882030132114,132.0,0.9740699807802836,1.0016750152251865,0.0016315820482042387,0.9710138462649451,0.9708596459246344,0.000946100406834517,0.0009406773765881216,4.983341451821959,5.117762204599069,0.9733577045467166,0.9754671770003107,130.45222645193397,144.8446270426435,14.392400590709542,135.95138494711128,139.92292027058008,3.9715353234687996,7.547773548066033,6.844627042643509,2.048615052888721,1.9229202705800787,0.0062320902612474915,115.0,168.0,8,False,False,False,2.0,2.0,False,True,True
ovlp_030,pair_07,140.0,140.0,138.0,0.9714985254075792,318,0.0035464722927100677,0.003650517422270088,1.7246415994456645,144.0,0.969174893697103,1.0023975360129402,0.002323631710476226,0.9602854177686903,0.95988184879803,0.0020563532120818477,0.002512417179584287,4.46307553140689,5.64916403529165,0.9658919715881347,0.9709378700256347,127.55389610823931,148.18988901814905,20.63599290990973,135.4514212569714,140.8804622922311,5.429041035259701,10.446103891760686,10.189889018149046,2.5485787430285995,2.880462292231101,0.011977453761630619,-162.0,163.0,7,False,False,False,2.0,2.0,False,True,True
ovlp_030,pair_08,140.0,140.0,138.0,0.9713112285402087,318,0.003197913728253597,0.003292367713137391,3.0472249225890384,144.0,0.9691511384646098,1.002228847482985,0.0021600900755989194,0.9643487634923722,0.9645425248112943,0.001049451159495154,0.00110554939166701,6.297742190729341,6.449755824911847,0.9678299960162904,0.9709631052878168,129.92545901317482,145.68360961282812,15.758150599653305,136.2944556161282,140.61016968217993,4.315714066051726,8.074540986825184,7.683609612828121,1.7055443838717963,2.6101696821799294,0.008318744235568665,100.0,158.0,6,False,False,False,2.0,2.0,False,True,True
ovlp_030,pair_09,140.0,140.0,139.0,0.9655727820926242,319,0.0036422632781946073,0.0037721271205480365,2.345771187267885,133.0,0.9632716912693448,1.0023888284521756,0.0023010908232794502,0.9581430115964678,0.9579076668851905,0.001552693330860093,0.001433091638008701,5.184435034789688,4.936657519606755,0.9618578968445459,0.9652012935678164,131.04843859309904,145.91788441045256,14.869445817353522,136.55562093763496,140.73203350162672,4.176412563991761,7.951561406900964,6.917884410452558,2.4443790623650443,1.7320335016267165,0.0110865518781873,-131.0,160.0,9,False,False,False,1.0,1.0,True,True,True
ovlp_030,pair_10,140.0,140.0,139.0,0.9690240722232395,319,0.0029256639451708684,0.0030191860336952155,2.6890264196366003,145.0,0.9673348816235859,1.0017462314569061,0.0016891905996535561,0.9615320380528768,0.9614187717313566,0.00108800119024723,0.0010244775199889917,7.313029348309379,6.99015824620075,0.9652780551380582,0.9686494705147214,130.0588936491204,148.38777926453068,18.328885615410286,136.49703117240813,141.689057146216,5.1920259738078585,8.941106350879608,9.387779264530678,2.5029688275918716,2.689057146215987,0.008845442136128812,-166.0,161.0,8,False,False,False,1.0,1.0,True,True,True
ovlp_030,pair_11,140.0,140.0,139.0,0.9637008966339959,319,0.0033417434195723668,0.0034676147249051775,2.691929919592682,145.0,0.9622364181942411,1.0015219528299533,0.001464478439754835,0.957023283375634,0.9566248103289141,0.0012413931712152478,0.0009231363548437209,7.2336152978097985,5.70011698884631,0.960362090004815,0.9633670159710779,131.72113109323243,148.64687113929128,16.92574004605885,136.99422796649426,141.827218965278,4.8329909987837425,7.2788689067675705,9.646871139291278,2.0057720335057354,2.827218965278007,0.010005407068464534,116.0,162.0,9,False,False,False,1.0,1.0,True,True,True
ovlp_030,pair_12,140.0,140.0,138.0,0.9635739411248101,318,0.004055370860077263,0.004208676352686853,2.3510289265597466,132.0,0.9615537497732373,1.0021009656007782,0.002020191351572831,0.9546856696075863,0.9543256626948715,0.0017249344805006183,0.001754207825501721,5.066829247943691,5.361524472079952,0.9591298053661982,0.9631295275489489,128.0117093809636,145.2567554148523,17.245046033888713,135.07771176254602,139.91427896356555,4.836567201019534,9.988290619036405,7.256755414852307,2.9222882374539836,1.9142789635655504,0.012749811278449097,-119.0,158.0,10,False,False,False,2.0,2.0,False,True,True
ovlp_032,pair_00,136.0,136.0,134.0,0.9742345828480191,314,0.002551855705446069,0.002619344201461343,1.6407844557567473,128.0,0.9724860493342081,1.001798003698879,0.0017485335138109903,0.9667202754815418,0.966411172878411,0.0015552656514344696,0.0014823849274318525,5.069066223909468,5.0302724569222566,0.9704774291647804,0.9738588674796953,124.14111229859438,142.977601510168,18.83648921157362,131.31790458841084,136.3278912963573,5.009986707946467,9.85888770140562,8.977601510168,2.6820954115891595,2.3278912963573077,0.008203973505232165,-138.0,160.0,10,False,False,False,2.0,2.0,False,True,True
ovlp_034,pair_00,131.99999999999997,131.99999999999997,130.0,0.9698084735870361,310,0.002547689531528835,0.0026270027545806864,2.1754463930306427,136.0,0.9680211289723715,1.0018463900850616,0.0017873446146646765,0.9643206809626685,0.9640138711581627,0.0011711111520333146,0.0011715540081659362,4.684199436062469,4.947952565230614,0.9670645772748523,0.9695340839558177,122.20935463321285,137.65012517839153,15.44077054517868,127.89776050661733,132.30015479106817,4.4023942844508355,7.790645366787146,7.650125178391534,2.102239493382669,2.3001547910681666,0.0074561574723986945,-175.0,167.0,11,False,False,False,1.9999999999999716,1.9999999999999716,False,True,True
ovlp_035,pair_00,130.0,130.0,128.0,0.9634495306015015,308,0.0023326831550282106,0.002421178360605841,1.2197629689608764,134.0,0.9619604632589552,1.001547950668889,0.0014890673425462797,0.9579829049110412,0.9575723558937511,0.0019124069301886069,0.0017252839820385483,3.168536743731364,3.0731820801186784,0.9607162177562714,0.9631761993169785,119.40632081490152,136.63096017723595,17.22463936233443,125.53202026215378,130.31535499160046,4.783334729446679,8.59367918509848,8.630960177235949,2.467979737846221,2.315354991600458,0.008900517092810811,-147.0,155.0,5,False,False,False,2.0,2.0,False,True,True
ovlp_035,pair_01,130.0,130.0,128.0,0.9665962367587619,308,0.0030803074804928087,0.003186757162247856,2.0807681124710573,134.0,0.9645764814482795,1.0020939296668834,0.002019755310482485,0.9599534998999701,0.9595097750930321,0.001480370379587723,0.0013086812299093911,5.075901378406504,4.7869518084409,0.963274868329366,0.9662640999158223,120.57121455377359,135.8440901683848,15.272875614611223,126.27189920862612,130.58677794287104,4.314878734244914,7.428785446226414,7.84409016838481,1.7281007913738762,2.586777942871038,0.009629282156626395,104.0,167.0,9,False,False,False,2.0,2.0,False,True,True
ovlp_035,pair_02,130.0,130.0,180.0,0.9713381838798523,360,0.0018809293162497507,0.0019364309438929753,1.0871058880000892,129.0,0.9712134657965767,1.000128414697353,0.00012471808327552125,0.9660560662216611,0.9658008096716764,0.0017302172097605237,0.0010961417342025906,4.818827249592661,3.200392515424305,0.9686971250507567,0.9710740779969427,172.20564745774925,,,179.10703786753012,,,7.794352542250749,,0.8929621324698758,,0.005282117658191199,,,9,True,True,True,50.0,50.0,False,False,False
ovlp_035,pair_03,130.0,130.0,128.0,0.9735024995274014,308,0.002352832960728273,0.0024168740828816406,1.461556555844496,122.0,0.9717526276906333,1.0018007379521336,0.0017498718367681132,0.9687610220909119,0.9682008324878083,0.0016098131483997156,0.0014870455531280544,3.1885219834158343,3.2933431093312926,0.9711317608091566,0.9732654256555769,120.63558792617674,134.76912060413173,14.133532677954989,126.09416064722426,130.03427800675388,3.940117359529623,7.36441207382326,6.769120604131729,1.9058393527757431,2.0342780067538797,0.00783969958623254,-151.0,152.0,9,False,False,False,2.0,2.0,False,True,True
ovlp_035,pair_04,130.0,130.0,126.0,0.9708915829658509,306,0.0018842726436613584,0.0019407652478614945,1.3375634621091617,132.0,0.9697008310423957,1.001227958031319,0.001190751923455191,0.9666298536459604,0.9661679743048218,0.0014087351344736257,0.0008594521341324093,4.958658138876489,3.3530850089815023,0.9687607183059057,0.9706784964998564,118.89130226589538,134.34059980566312,15.449297539767741,124.17845336930108,128.54565867333554,4.3672053040344565,7.108697734104624,8.340599805663118,1.8215466306989185,2.545658673335538,0.006524674892425586,-155.0,157.0,9,False,False,False,4.0,4.0,False,False,True
ovlp_035,pair_05,130.0,130.0,128.0,0.9723842215538024,308,0.002389725613685695,0.0024575939846772496,1.5603981012882067,122.0,0.9713879582617018,1.001025608031917,0.0009962632921006742,0.9672596392366621,0.9668805254523953,0.0015314845690422374,0.0016975030552544507,3.018894311428584,3.5937000036827134,0.9698219303952322,0.9721279924379455,117.11363101362869,136.441157900795,19.3275268871663,125.07234136712572,130.42286819196522,5.3505268248395055,10.88636898637131,8.441157900794991,2.9276586328742837,2.4228681919652217,0.008378977510664187,-164.0,156.0,7,False,False,False,2.0,2.0,False,True,True
ovlp_035,pair_06,130.0,130.0,128.0,0.9652927165561253,308,0.003008447513216416,0.0031166168164509247,2.0494352800800555,122.0,0.9633757593896654,1.0019898333000141,0.0019169571664598983,0.9600957692994012,0.9597145860965053,0.001467939750260813,0.0011883888566494316,4.373103321901234,3.799972348067341,0.9626942429277632,0.965032869193289,120.76565487822305,134.37089987720358,13.605244998980538,125.8953103652549,129.7306209856253,3.8353106203704073,7.234345121776954,6.370899877203584,2.1046896347450996,1.7306209856253076,0.0076944976382785635,99.0,152.0,8,False,False,False,2.0,2.0,False,True,True
ovlp_035,pair_07,130.0,130.0,128.0,0.9745237957106697,308,0.0020893359796898604,0.00214395583656961,1.7617058502039715,134.0,0.9730150877104865,1.001550549440845,0.001508708000183212,0.9698803608947331,0.9697623918826382,0.0011859732312564867,0.0011592401610215775,4.005584840888051,4.014765006952961,0.9722020783027014,0.9742916239698729,120.27842098521964,135.81115009499703,15.532729109777392,125.78845333530532,130.08301697585867,4.294563640553349,7.72157901478036,7.811150094997032,2.21154666469468,2.083016975858669,0.006750717692905139,-122.0,150.0,9,False,False,False,2.0,2.0,False,True,True
ovlp_035,pair_08,130.0,130.0,129.0,0.9759696412086487,309,0.0016238866604066766,0.0016638700548058463,2.033371982678424,123.0,0.9751900148391722,1.000799460984642,0.0007796263694764827,0.9719419282012516,0.971718234024942,0.0007986176037832684,0.0007174015336831779,5.614307773665652,5.3234578896917455,0.9739557847049501,0.9757682555582788,118.00832697779128,137.1309007128525,19.122573735061223,126.19192364888022,131.53507413466045,5.343150485780228,10.991673022208715,8.130900712852508,2.80807635111978,2.535074134660448,0.005751229392157664,-149.0,157.0,8,False,False,False,1.0,1.0,True,True,True
ovlp_035,pair_09,130.0,130.0,127.0,0.964786536163754,307,0.0030382035467022487,0.003149094056373287,2.35464940874146,121.0,0.963350641462538,1.001490521352678,0.0014358947012159673,0.9589054701063368,0.9587895816316208,0.0012902997513868286,0.0012192244344552178,4.82361236472844,4.647721993038929,0.9618460031350453,0.9644924828608831,117.7839365748827,133.83670400697528,16.05276743209258,124.31191856556401,128.82518207328133,4.513263507717312,9.216063425117298,6.836704006975282,2.6880814344359862,1.8251820732813258,0.008534238868289523,-119.0,149.0,7,False,False,False,3.0,3.0,False,False,True
ovlp_035,pair_10,130.0,130.0,130.0,0.9734403072463141,310,0.0026692164471216347,0.002742044301280644,1.2518804228742861,-180.0,0.9734293672773573,1.0000112385852786,1.093996895684679e-05,0.9689799948533375,0.9690922845585479,0.002132165659235393,0.0021499348706405645,2.074626749808326,2.0392518137288946,0.9712101510498259,0.9732172916266653,123.46330030436378,136.7705925774721,13.307292273108303,128.08786789677382,131.95035806276243,3.8624901659886177,6.536699695636216,6.770592577472087,1.9121321032261847,1.950358062762433,0.007592347198062455,101.0,162.0,7,False,False,False,0.0,0.0,True,True,True
ovlp_035,pair_11,130.0,130.0,128.0,0.9684531701935662,308,0.002534373342432293,0.002616929161299295,1.3742638442698865,180.0,0.9667526464992099,1.001759005988258,0.0017005236943563595,0.9618114246262444,0.9617384191734925,0.0018441679543557698,0.001665822465340458,3.9870668726780916,3.641073473928509,0.9651322974099052,0.9681210829152002,119.52247384818146,136.75669391507074,17.23422006688928,126.08196892337806,130.7557530268663,4.673784103488245,8.477526151818537,8.756693915070741,1.9180310766219435,2.7557530268663015,0.009394794570075193,-138.0,154.0,8,False,False,False,2.0,2.0,False,True,True
ovlp_035,pair_12,130.0,130.0,128.0,0.9612909544838799,308,0.0034863002949955834,0.0036266858423393664,1.8288744868319244,180.0,0.9599437488449944,1.0014034214405858,0.0013472056388854625,0.9541667528947194,0.9538860998584164,0.0019062545407556872,0.0018826598776181074,3.7841150564986017,3.884504648853455,0.9577288536892996,0.9609347444044218,119.83500639501449,135.49970171117909,15.664695316164597,125.89270565013615,130.28602350545316,4.393317855317008,8.164993604985511,7.499701711179085,2.1072943498638494,2.2860235054531586,0.011116105450524216,-128.0,151.0,8,False,False,False,2.0,2.0,False,True,True
ovlp_035,pair_13,130.0,130.0,127.0,0.9640868139266967,307,0.002954526348116664,0.003064585372849325,2.087687752840719,180.0,0.9622732366455926,1.0018846801636363,0.001813577281104095,0.9579685437679292,0.9579462841790584,0.0014152146766662958,0.0015916962672076036,3.8438678815909637,4.338938712890601,0.9610276788473129,0.9637809004187583,119.38727802251043,134.2029781910543,14.815700168543884,125.2469622125515,129.42660637652043,4.179644163968931,7.612721977489571,7.202978191054314,1.7530377874485055,2.426606376520425,0.008054273128509482,-139.0,157.0,9,False,False,False,3.0,3.0,False,False,True
ovlp_035,pair_14,130.0,130.0,127.0,0.9723715307977464,307,0.002615761476250219,0.002690084389969967,1.9584819326740577,133.0,0.9708677297168308,1.0015489247761424,0.0015038010809156344,0.9679985713958741,0.9675304773193266,0.0013356066413534537,0.0010817979334990537,4.042307039474621,3.6246102172074,0.9701850510968102,0.9721528828276528,119.95842384061983,134.4095513894006,14.451127548780775,124.89882159247311,129.12737481772393,4.2285532252508204,7.0415761593801705,7.409551389400605,2.101178407526888,2.1273748177239327,0.0064602046542698854,-165.0,151.0,8,False,False,False,3.0,3.0,False,False,True
ovlp_036,pair_00,128.0,128.0,127.0,0.9705187447865804,307,0.0025771505966781295,0.0026554361886589337,1.930019289844555,133.0,0.9689851217799715,1.0015827105825852,0.001533623006608864,0.9649717485904694,0.96458259133829,0.0013352978440364163,0.0010032206443946043,5.529188645692527,4.445565066102554,0.9677452466885249,0.9702413949767749,119.54469180348342,135.17659736916877,15.631905565685358,125.22120799516219,129.7675017813318,4.546293786169599,7.455308196516583,8.176597369168775,1.7787920048378112,2.767501781331788,0.009000705348120808,-113.0,151.0,10,False,False,False,1.0,1.0,True,True,True
ovlp_038,pair_00,124.0,124.0,124.0,0.970887328253852,304,0.0018878680428434085,0.0019444769623667383,1.314080857629407,118.0,0.9696524336602953,1.001273543540643,0.0012348945935567457,0.9662161217795477,0.9656516438714332,0.0014366452656871585,0.001407076144377402,3.3197965106367433,3.644382164106857,0.9685517250167,0.9706537679301368,115.09624306028218,131.216874387964,16.12063132768182,121.35867989171763,125.78092685324359,4.422246961525957,8.903756939717823,7.216874387963998,2.641320108282372,1.7809268532435851,0.007556077109442727,-108.0,157.0,10,False,False,False,0.0,0.0,True,True,True
ovlp_040,pair_00,120.0,120.0,117.0,0.9632584505610996,297,0.0022357969757216866,0.002321076938820865,1.6579044205160725,-180.0,0.9626264031728109,1.000656586383051,0.0006320473882887034,0.9589549663331773,0.9588124849109185,0.00134856807669632,0.0015385384662151105,2.797124883402538,3.2968047568445042,0.9611067084471385,0.9630432763497034,109.27575253744641,124.16675595217413,14.89100341472772,114.77425686096286,119.07360465936291,4.299347798400049,7.724247462553592,7.166755952174128,2.225743139037135,2.073604659362914,0.007077904807196611,-161.0,141.0,9,False,False,False,3.0,3.0,False,False,True
