el_x1,el_x2,el_xc,el_y1,el_y2,el_yc,el_z1,el_z2,el_zc
-0.003625,-0.00375,-0.00375,0,0.005,0,0,0,0
-0.003325,-0.00345,-0.00345,0,0.005,0,0,0,0
-0.003025,-0.00315,-0.00315,0,0.005,0,0,0,0
-0.002725,-0.00285,-0.00285,0,0.005,0,0,0,0
-0.002425,-0.00255,-0.00255,0,0.005,0,0,0,0
-0.002125,-0.00225,-0.00225,0,0.005,0,0,0,0
-0.001825,-0.00195,-0.00195,0,0.005,0,0,0,0
-0.001525,-0.00165,-0.00165,0,0.005,0,0,0,0
-0.001225,-0.00135,-0.00135,0,0.005,0,0,0,0
-0.000925,-0.00105,-0.00105,0,0.005,0,0,0,0
-0.000625,-0.00075,-0.00075,0,0.005,0,0,0,0
-0.000325,-0.00045,-0.00045,0,0.005,0,0,0,0
-2.5e-05,-0.00015,-0.00015,0,0.005,0,0,0,0
0.000275,0.00015,0.00015,0,0.005,0,0,0,0
0.000575,0.00045,0.00045,0,0.005,0,0,0,0
0.000875,0.00075,0.00075,0,0.005,0,0,0,0
0.001175,0.00105,0.00105,0,0.005,0,0,0,0
0.001475,0.00135,0.00135,0,0.005,0,0,0,0
0.001775,0.00165,0.00165,0,0.005,0,0,0,0
0.002075,0.00195,0.00195,0,0.005,0,0,0,0
0.002375,0.00225,0.00225,0,0.005,0,0,0,0
0.002675,0.00255,0.00255,0,0.005,0,0,0,0
0.002975,0.00285,0.00285,0,0.005,0,0,0,0
0.003275,0.00315,0.00315,0,0.005,0,0,0,0
0.003575,0.00345,0.00345,0,0.005,0,0,0,0
0.003875,0.00375,0.00375,0,0.005,0,0,0,0
0.004175,0.00405,0.00405,0,0.005,0,0,0,0
0.004475,0.00435,0.00435,0,0.005,0,0,0,0
0.004775,0.00465,0.00465,0,0.005,0,0,0,0
0.005075,0.00495,0.00495,0,0.005,0,0,0,0
0.005375,0.00525,0.00525,0,0.005,0,0,0,0
0.005675,0.00555,0.00555,0,0.005,0,0,0,0
0.005975,0.00585,0.00585,0,0.005,0,0,0,0
0.006275,0.00615,0.00615,0,0.005,0,0,0,0
0.006575,0.00645,0.00645,0,0.005,0,0,0,0
0.006875,0.00675,0.00675,0,0.005,0,0,0,0
0.007175,0.00705,0.00705,0,0.005,0,0,0,0
0.007475,0.00735,0.00735,0,0.005,0,0,0,0
0.007775,0.00765,0.00765,0,0.005,0,0,0,0
0.008075,0.00795,0.00795,0,0.005,0,0,0,0
0.008375,0.00825,0.00825,0,0.005,0,0,0,0
0.008675,0.00855,0.00855,0,0.005,0,0,0,0
0.008975,0.00885,0.00885,0,0.005,0,0,0,0
0.009275,0.00915,0.00915,0,0.005,0,0,0,0
0.009575,0.00945,0.00945,0,0.005,0,0,0,0
0.009875,0.00975,0.00975,0,0.005,0,0,0,0
0.010175,0.01005,0.01005,0,0.005,0,0,0,0
0.010475,0.01035,0.01035,0,0.005,0,0,0,0
0.010775,0.01065,0.01065,0,0.005,0,0,0,0
0.011075,0.01095,0.01095,0,0.005,0,0,0,0
0.011375,0.01125,0.01125,0,0.005,0,0,0,0
0.011675,0.01155,0.01155,0,0.005,0,0,0,0
0.011975,0.01185,0.01185,0,0.005,0,0,0,0
0.012275,0.01215,0.01215,0,0.005,0,0,0,0
0.012575,0.01245,0.01245,0,0.005,0,0,0,0
0.012875,0.01275,0.01275,0,0.005,0,0,0,0
0.013175,0.01305,0.01305,0,0.005,0,0,0,0
0.013475,0.01335,0.01335,0,0.005,0,0,0,0
0.013775,0.01365,0.01365,0,0.005,0,0,0,0
